Source;Target
WL1;LV
WL1;WT
LV;WL1
WT;WL1
WT;SH1
SH1;CA
CA;SH1
SH1;WT
FS;MC
GO;GI
GO;TI
ER1;GO
ER1;GI
GI;GO
GI;TI
TI;GO
TI;GI
PI1;WI
PI1;SH2
WI;GO
WI;PI1
HD1;GI
HD1;WI
ER2;TI
ER2;SH1
SH2;PI1
SH2;YG
NL;ER1
NL;PI2
PI2;TI
PI2;NL
YG;FR
YG;SH3
FR;YG
FR;SH3
SH3;YG
SH3;FR
FE;KR1
FE;TU
KR1;HD2
HD2;KR1
KR1;TU
TU;FE
TU;KR1
HI;TU
HI;NS
NS;HI
NS;HR
HR;AR
HR;DE
ML;HR
ML;AR
AR;HR
AR;DE
DE;AR
DE;CL
GA;DE
GA;KN
CL;DE
CL;KR2
KR2;DE
KR2;CL
PT;KN
PT;CL
KN;DE
KN;PT
BR;AR
BR;KN
WL2;CL
WL2;DE
DM;KN
DM;AL
AL;DM
AL;SL
SL;BY
SL;LP
BY;SL
BY;LP
LP;SL
LP;BY
